ColumnX	ColumnY
0.0055	0.001033640670094982
0.011	0.001062149306250954
0.0165	0.001081877540423428
0.022	0.001092484631162285
0.0275	0.00110701013901601
0.033	0.001126137822330058
0.0385	0.001144937264786162
0.044	0.001163518831047235
0.0495	0.001181940932019716
0.05499999999999999	0.001200227241482455
0.0605	0.001218380277401514
0.066	0.001236390325855563
0.0715	0.001254240907310513
0.077	0.001271912018869523
0.08249999999999999	0.00128938202515905
0.088	0.001306628747380307
0.0935	0.001323630080742992
0.09899999999999999	0.001340364334992349
0.1045	0.001356810412150517
0.11	0.001372947888383297
0.1155	0.001388757039371265
0.121	0.001404218832502925
0.1265	0.001419314899810231
0.132	0.001434027500050643
0.1375	0.001448339475085428
0.143	0.001462234203771635
0.1485	0.001475695555431362
0.154	0.001488707844263256
0.1595	0.001501255785631705
0.165	0.001513324454901
0.1705	0.001524899249308998
0.176	0.00153596585326
0.1815	0.001546510207338008
0.187	0.00155651848128658
0.1925	0.001565977051161582
0.198	0.001574872480834231
0.2035	0.001583191508002143
0.209	0.001590921034849773
0.2145	0.001598048123491635
0.22	0.001604559996324016
0.2255	0.001610444041412253
0.231	0.001615687823039344
0.2365	0.001620279097544974
0.242	0.001624205834590784
0.2475	0.001627456243994982
0.253	0.001630018808289404
0.2585	0.001631882321161613
0.264	0.001633035931958224
0.2695	0.001633469196438371
0.275	0.001633172133982143
0.2805	0.001632135291475309
0.286	0.00163034981410809
0.2915	0.001627807523346193
0.297	0.001624501002354607
0.3025	0.001620423689178011
0.308	0.001615569978005502
0.3135	0.001609935328879116
0.319	0.001603516386236632
0.3245	0.0015963111067142
0.33	0.001588318896676731
0.3355	0.001579540759986013
0.341	0.001569979456568257
0.3465	0.001559639672396064
0.352	0.001548528201560064
0.3575	0.001536654141170882
0.363	0.001524029099898817
0.3685	0.00151066742102631
0.374	0.001496586420956185
0.3795	0.00148180664417604
0.385	0.001466352135719876
0.3905	0.001450250732179346
0.396	0.00143353437227782
0.4015	0.00141623942790786
0.407	0.001398407056303703
0.4125	0.001380083573625635
0.418	0.001361320849598045
0.4235	0.001342176721870653
0.429	0.001322715427333518
0.4345	0.001303008045547507
0.44	0.001283132946560451
0.4455	0.0012631762314564
0.451	0.001243232148926267
0.4565	0.001223403465323882
0.462	0.00120380176265744
0.4675	0.001184548988330616
0.473	0.001188821334871046
0.4785	0.001193510799384712
0.484	0.001198271669070958
0.4895	0.001203104588600349
0.495	0.001208010217652728
0.5005	0.001212989227503102
0.506	0.001218042300653442
0.5115	0.00122317013084251
0.517	0.001228373423141261
0.5225	0.001233652894075534
0.528	0.001239009271760394
0.5335	0.001244443296040758
0.539	0.001249955718636357
0.5445	0.001255547303290251
0.55	0.001261218825920342
0.5555	0.001266971074773921
0.561	0.001272804850585098
0.5665	0.001278720966734949
0.572	0.00128472024941455
0.5775	0.001290803537790724
0.583	0.001296971684174676
0.5885	0.001303225554193691
0.594	0.001309566026965589
0.5995	0.001315993995276241
0.605	0.001322510365760463
0.6105	0.001329116059086441
0.616	0.001335812010144505
0.6215	0.001342599168242032
0.627	0.001349478497308847
0.6325	0.001356450976127131
0.638	0.001363517598638886
0.6435	0.00137067937461411
0.649	0.001377937333672293
0.6545	0.001388354182588869
0.66	0.00141452862967914
0.6655	0.001440691428436772
0.671	0.001466759873290788
0.6765	0.001492657161085612
0.682	0.00151831225420519
0.6875	0.001543659777696408
0.693	0.001568639893808739
0.6985	0.00159319815680513
0.704	0.001617285351384756
0.7095	0.001640857317685504
0.715	0.00166387476543941
0.7205	0.001686303079510481
0.726	0.001708112118753858
0.7315	0.001729276009890812
0.737	0.001749772937895637
0.7425	0.00176958493422142
0.748	0.001788697664053442
0.7535	0.001807100213663459
0.759	0.001824784878837313
0.7645	0.001841746955264684
0.77	0.001857984531701522
0.7755	0.001873498286646103
0.781	0.001888291289205393
0.7865	0.001902368804764632
0.792	0.001915738106013081
0.7975	0.001928408289818894
0.803	0.001940390100387216
0.8085	0.001951695759077079
0.814	0.001962338801194023
0.8195	0.001972333920019631
0.825	0.001981696818281727
0.8305	0.001990444067215893
0.836	0.001998592973316349
0.8415	0.002006161452823223
0.847	0.002013167913947483
0.8525	0.002019631146789576
0.858	0.002025570220865584
0.8635	0.002031004390119893
0.869	0.002035953005267138
0.8745	0.002040435433275757
0.88	0.002044470983780195
0.8855	0.002048078842185717
0.891	0.002051278009209907
0.8965	0.002054087246588484
0.902	0.002056525028662552
0.9075	0.002058609499553723
0.913	0.002060358435627966
0.9185	0.00206178921294534
0.924	0.002062918779390635
0.9295	0.002063763631183883
0.935	0.00206433979347176
0.9405	0.002064662804703455
0.946	0.002064747704506705
0.9515	0.002064609024783999
0.957	0.002064260783760622
0.9625	0.002063716482729654
0.968	0.002062989105259133
0.9735	0.002062091118695143
0.979	0.002061034478236007
0.9845	0.002059830648268715
0.99	0.002071047125789642
0.9955	0.00208728479973709
1.001	0.002103728553138449
1.0065	0.002120381042237965
1.012	0.002137244965436991
1.0175	0.002154323060974428
1.023	0.002171618107190745
1.0285	0.002189132923041506
1.034	0.002206870368666327
1.0395	0.002224833345980217
1.045	0.002243024799278769
1.0505	0.002261447715853592
1.056	0.002280105126618343
1.0615	0.002299000106744735
1.067	0.002318135776306995
1.0725	0.002337515300936377
1.078	0.002357141892486684
1.0835	0.002377018809708664
1.089	0.002397149358933699
1.0945	0.002417536894768766
1.1	0.002438184820801516
1.1055	0.002459096590315342
1.111	0.002480275707015138
1.1165	0.002501725725763804
1.122	0.002523450253329358
1.1275	0.002545452949143181
