ColumnX	ColumnY
0.2	0.00006332661889985049
0.35	0.0001225108702598732
0.5	0.000247540901260379
0.75	0.0012032335538393112
1.	0.0033441270749406723
1.3	0.007980861089160384
1.5	0.011524245745779638
1.7	0.018197481165759654
2.	0.024933867353580202
2.2	0.0287773192244402
2.5	0.04207841228242021
