ColumnX	ColumnY
13.687150837988828	5.72399205702257
19.770328988206085	12.4025704180504
25.853507138423343	26.8793682684419
31.9366852886406	58.26131551473
56.26939788950963	1286.72854854527
62.352576039726884	2789.65483315543
68.43575418994413	6048.16303869246
74.5189323401614	13113.079904207
76.03972687771571	15912.0516415338
79.08131595282434	23429.9003269775
82.12290502793296	34499.7853767633
85.1644941030416	50800.0299341772
88.20608317815022	74801.9824933125
95.8100558659218	196807.891315805
98.85164494103043	289798.941993198
98.85164494103043	289798.941993198
101.89323401613905	426729.323378732
104.93482309124768	628361.492862539
104.93482309124768	628361.492862539
107.9764121663563	925268.990223037
117.1011793916822	2.95427863474711e6
117.1011793916822	2.95427863474711e6
117.1011793916822	2.95427863474711e6
126.22594661700808	9.43293808046844e6
126.22594661700808	9.43293808046844e6
135.350713842334	3.01199775333248e7
144.47548106765984	9.6177751929358e7
153.60024829298573	3.07119371768537e8
